"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 05:45:00";"2";"0";"70";"1,52";"8388608";"972240";"11,59";"0";"7";"64";"6";"6"
"05.11.2015 05:50:00";"2";"0";"72";"1,58";"8388608";"905131";"10,79";"0";"7";"64";"5";"5"
"05.11.2015 05:55:00";"2";"0";"72";"1,58";"8388608";"1140012";"13,59";"0";"7";"64";"5";"5"
"05.11.2015 06:00:00";"2";"0";"71";"1,55";"8388608";"787690";"9,39";"0";"7";"64";"6";"6"
"05.11.2015 06:05:00";"2";"0";"73";"1,59";"8388608";"1039349";"12,39";"0";"7";"64";"5";"5"
"05.11.2015 06:10:00";"2";"0";"72";"1,57";"8388608";"1039349";"12,39";"0";"7";"64";"5";"5"
"05.11.2015 06:15:00";"2";"0";"81";"1,77";"8388608";"1039349";"12,39";"0";"7";"64";"6";"6"
"05.11.2015 06:20:00";"2";"0";"70";"1,54";"8388608";"1374893";"16,39";"0";"7";"64";"5";"5"
"05.11.2015 06:25:00";"2";"0";"72";"1,57";"8388608";"1005794";"11,99";"0";"8";"64";"5";"5"
"05.11.2015 06:30:00";"2";"0";"70";"1,53";"8388608";"921908";"10,99";"0";"7";"64";"6";"6"
"05.11.2015 06:35:00";"2";"0";"72";"1,58";"8388608";"1140012";"13,59";"0";"8";"64";"5";"5"
"05.11.2015 06:40:00";"2";"0";"71";"1,56";"8388608";"955462";"11,39";"0";"8";"64";"5";"5"
"05.11.2015 06:45:00";"2";"0";"70";"1,53";"8388608";"804468";"9,59";"0";"6";"64";"6";"6"
"05.11.2015 06:50:00";"2";"0";"73";"1,6";"8388608";"1022571";"12,19";"0";"7";"64";"5";"5"
"05.11.2015 06:55:00";"2";"0";"73";"1,59";"8388608";"972240";"11,59";"0";"7";"64";"5";"5"
"05.11.2015 07:00:00";"2";"0";"71";"1,55";"8388608";"1039349";"12,39";"0";"6";"64";"6";"6"
"05.11.2015 07:05:00";"2";"0";"72";"1,59";"8388608";"821245";"9,79";"0";"7";"64";"5";"5"
"05.11.2015 07:10:00";"2";"0";"71";"1,56";"8388608";"888354";"10,59";"0";"7";"64";"5";"5"
"05.11.2015 07:15:00";"2";"0";"80";"1,76";"8388608";"1039349";"12,39";"0";"7";"64";"6";"5"
"05.11.2015 07:20:00";"2";"0";"72";"1,57";"8388608";"1358116";"16,19";"0";"8";"64";"5";"5"
"05.11.2015 07:25:00";"2";"0";"72";"1,58";"8388608";"854799";"10,19";"0";"8";"64";"5";"5"
"05.11.2015 07:30:00";"2";"0";"70";"1,54";"8388608";"759169";"9,05";"0";"7";"64";"6";"6"
"05.11.2015 07:35:00";"2";"0";"73";"1,59";"8388608";"972240";"11,59";"0";"8";"64";"5";"5"
"05.11.2015 07:40:00";"2";"0";"72";"1,58";"8388608";"977273";"11,65";"0";"7";"64";"5";"5"
"05.11.2015 07:45:00";"2";"0";"68";"1,49";"8388608";"893387";"10,65";"0";"7";"64";"6";"5"
"05.11.2015 07:50:00";"2";"0";"73";"1,6";"8388608";"1027604";"12,25";"0";"7";"64";"5";"5"
"05.11.2015 07:55:00";"2";"0";"71";"1,56";"8388608";"966368";"11,52";"0";"7";"64";"5";"5"
"05.11.2015 08:00:00";"2";"0";"69";"1,52";"8388608";"899259";"10,72";"0";"6";"64";"6";"5"
"05.11.2015 08:05:00";"2";"0";"71";"1,56";"8388608";"888354";"10,59";"0";"7";"64";"5";"5"
